"text","inputModeHint","isForAnotherPersonHint","actionType","postNature","targetAudience","postInputMode","locationSharingMode","dangerLevel","helpType","requesterProfile","helpInputMode","presetMessageKey","needsAudioGuidance","needsVisualSupport","needsPhysicalAssistance","needsSimpleLanguage","isForAnotherPerson"
"signalement manque panneau braille","deafBlind","False","create_post","signalement","visual","deafBlind","precise","medium","none","none","none","none","True","False","False","True","False"
"information free assistance point here","voice","False","create_post","information","caregiver","voice","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil ne traversez pas seul la nuit","keyboard","False","create_post","conseil","all","keyboard","none","low","none","none","none","none","False","False","False","True","False"
"temoignage acces hall impossible now","voice","False","create_post","temoignage","motor","voice","approximate","medium","none","none","none","none","False","False","True","True","False"
"alerte zone noire no light","headEyes","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","True","True","True","False"
"signalement escalator stoped","keyboard","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"information bus low-floor available","voice","False","create_post","information","motor","voice","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil utiliser messages tres simples","keyboard","False","create_post","conseil","cognitive","keyboard","none","low","none","none","none","none","False","True","False","True","False"
"temoignage staff parle fort pour sourd","caregiver","True","create_post","temoignage","hearing","caregiver","none","low","none","none","none","none","False","True","False","True","True"
"alerte chien agressif pres ecole","voice","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","False","True","True","False"
"signalement porte trop lourde","headEyes","False","create_post","signalement","motor","headEyes","approximate","medium","none","none","none","none","False","False","True","True","False"
"information cafe quiet pr autism","keyboard","False","create_post","information","cognitive","keyboard","approximate","none","none","none","none","none","False","True","False","True","False"
"conseil use tactile paving line","voice","False","create_post","conseil","visual","voice","none","low","none","none","none","none","True","False","False","True","False"
"temoignage route blocked fi souk","vibration","False","create_post","temoignage","all","vibration","approximate","medium","none","none","none","none","False","False","True","True","False"
"alerte smoke and panic near gate","voice","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","False","True","True","False"
"signalement station sans ascenseur","keyboard","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"information passage audio active","voice","False","create_post","information","visual","voice","approximate","none","none","none","none","none","True","False","False","False","False"
"conseil talk slow and clear pls","caregiver","True","create_post","conseil","caregiver","caregiver","none","low","none","none","none","none","False","True","False","True","True"
"temoignage queue courte today","keyboard","False","create_post","temoignage","all","keyboard","none","none","none","none","none","none","False","False","False","False","False"
"alerte missing manhole cover","headEyes","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","True","True","True","False"
"signalement obstacle random fi trottoir","vibration","False","create_post","signalement","motor","vibration","approximate","medium","none","none","none","none","False","False","True","True","False"
"info rapide acces ok maintenant","keyboard","False","create_post","information","all","keyboard","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil: phrases courtes bdoun ta9id","voice","False","create_post","conseil","cognitive","voice","none","low","none","none","none","none","False","True","False","True","False"
"temoignage service top pour aidants","caregiver","True","create_post","temoignage","caregiver","caregiver","none","none","none","none","none","none","False","False","False","True","True"
"je suis bloque trottoir trop haut","text","False","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","False","False","True","True","False"
"perdu je trouve pas entree clinique","voice","False","create_help_request","none","none","none","none","none","orientation","visual","voice","lost","True","False","False","True","False"
"need help communication at desk","caregiver","False","create_help_request","none","none","none","none","none","communication","hearing","caregiver","cannot_reach","False","True","False","True","False"
"urgence medicale douleur poitrine","voice","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","True","True","False"
"escort me to metro exit pls","haptic","False","create_help_request","none","none","none","none","none","escort","cognitive","haptic","escort","True","True","False","True","False"
"unsafe access entree principale","tap","False","create_help_request","none","none","none","none","none","unsafe_access","motor","tap","blocked","False","False","True","True","False"
"for my father ma9darch ytl3","text","True","create_help_request","none","none","none","none","none","mobility","caregiver","text","cannot_reach","False","False","True","True","True"
"ma n9darsh nwasel l ascenseur","voice","False","create_help_request","none","none","none","none","none","mobility","motor","voice","cannot_reach","False","False","True","True","False"
"need vocal guidance to exit","text","False","create_help_request","none","none","none","none","none","orientation","visual","text","lost","True","False","False","True","False"
"my friend deaf needs support","caregiver","True","create_help_request","none","none","none","none","none","communication","caregiver","caregiver","cannot_reach","False","True","False","True","True"
"desoriente fi gare now","volume_shortcut","False","create_help_request","none","none","none","none","none","orientation","cognitive","volume_shortcut","lost","True","True","False","True","False"
"medical urgent post fall please","text","False","create_help_request","none","none","none","none","none","medical","unknown","text","medical_urgent","False","True","True","True","False"
"guide me to taxi stand","voice","False","create_help_request","none","none","none","none","none","escort","visual","voice","escort","True","False","False","True","False"
"danger stair no rail help","tap","False","create_help_request","none","none","none","none","none","unsafe_access","motor","tap","blocked","False","False","True","True","False"
"cannot reach ticket machine","text","False","create_help_request","none","none","none","none","none","mobility","motor","text","cannot_reach","False","False","True","True","False"
"lost in mall khallini nkhroj","haptic","False","create_help_request","none","none","none","none","none","orientation","unknown","haptic","lost","True","True","False","True","False"
"communication help pour signer","voice","False","create_help_request","none","none","none","none","none","communication","hearing","voice","cannot_reach","False","True","False","True","False"
"urgent medecin maintenant","voice","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","True","True","False"
"escort older woman to bus","caregiver","True","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","False","False","True","True","True"
"unsafe sidewalk broken now","text","False","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","False","False","True","True","False"
"cant reach ramp entrance","tap","False","create_help_request","none","none","none","none","none","mobility","motor","tap","cannot_reach","False","False","True","True","False"
"orientation pls ana daye3","voice","False","create_help_request","none","none","none","none","none","orientation","unknown","voice","lost","True","True","False","True","False"
"need communication for admin paper","text","False","create_help_request","none","none","none","none","none","communication","cognitive","text","cannot_reach","False","True","False","True","False"
"medical issue sugar very low","haptic","False","create_help_request","none","none","none","none","none","medical","unknown","haptic","medical_urgent","False","False","True","True","False"
"escort to hospital gate","voice","False","create_help_request","none","none","none","none","none","escort","cognitive","voice","escort","True","False","False","True","False"
"unsafe_access dark tunnel","volume_shortcut","False","create_help_request","none","none","none","none","none","unsafe_access","unknown","volume_shortcut","blocked","False","True","False","True","False"
"mobility help wheelchair stuck","text","False","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","False","False","True","True","False"
"lost near station no signs","tap","False","create_help_request","none","none","none","none","none","orientation","visual","tap","lost","True","False","False","True","False"
"communication support for deaf aunt","caregiver","True","create_help_request","none","none","none","none","none","communication","caregiver","caregiver","cannot_reach","False","True","False","True","True"
"medical urgent chest pain now","text","False","create_help_request","none","none","none","none","none","medical","unknown","text","medical_urgent","False","False","True","True","False"
"escort please fi lil","haptic","False","create_help_request","none","none","none","none","none","escort","unknown","haptic","escort","True","False","False","True","False"
"unsafe ramp slippery rain","voice","False","create_help_request","none","none","none","none","none","unsafe_access","motor","voice","blocked","False","False","True","True","False"
"mobility cannot pass crowd","volume_shortcut","False","create_help_request","none","none","none","none","none","mobility","motor","volume_shortcut","cannot_reach","False","False","True","True","False"
"orientation help short msg","text","False","create_help_request","none","none","none","none","none","orientation","unknown","text","lost","True","True","False","True","False"
"need com help guichet vite","tap","False","create_help_request","none","none","none","none","none","communication","hearing","tap","cannot_reach","False","True","False","True","False"
"medical urgent fainting friend","caregiver","True","create_help_request","none","none","none","none","none","medical","caregiver","caregiver","medical_urgent","False","False","True","True","True"
"escort my mom to pharmacy","caregiver","True","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","True","False","True","True","True"
"unsafe access broken lift","text","False","create_help_request","none","none","none","none","none","unsafe_access","motor","text","blocked","False","False","True","True","False"
"mobility request no ramp here","voice","False","create_help_request","none","none","none","none","none","mobility","motor","voice","blocked","False","False","True","True","False"
"orientation barsha stress","haptic","False","create_help_request","none","none","none","none","none","orientation","cognitive","haptic","lost","True","True","False","True","False"
"communication with police needed","text","False","create_help_request","none","none","none","none","none","communication","hearing","text","cannot_reach","False","True","False","True","False"
"medical urgent blood sugar 40","voice","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","True","True","False"
"escort me to safe area now","tap","False","create_help_request","none","none","none","none","none","escort","unknown","tap","escort","True","False","False","True","False"
"unsafe crossing no lights","volume_shortcut","False","create_help_request","none","none","none","none","none","unsafe_access","unknown","volume_shortcut","blocked","False","True","False","True","False"
"mobility support for cousin","caregiver","True","create_help_request","none","none","none","none","none","mobility","caregiver","caregiver","cannot_reach","False","False","True","True","True"
"orientation quick help pls","text","False","create_help_request","none","none","none","none","none","orientation","visual","text","lost","True","False","False","True","False"
"communication issue cant explain meds","voice","False","create_help_request","none","none","none","none","none","communication","cognitive","voice","cannot_reach","False","True","False","True","False"
"medical emergency breathing hard","haptic","False","create_help_request","none","none","none","none","none","medical","unknown","haptic","medical_urgent","False","False","True","True","False"
"escort service needed please","text","False","create_help_request","none","none","none","none","none","escort","unknown","text","escort","True","False","False","True","False"
"unsafe entrance blocked by car","tap","False","create_help_request","none","none","none","none","none","unsafe_access","motor","tap","blocked","False","False","True","True","False"
"mobility can t reach platform","voice","False","create_help_request","none","none","none","none","none","mobility","motor","voice","cannot_reach","False","False","True","True","False"
"orientation i am lost near souk","volume_shortcut","False","create_help_request","none","none","none","none","none","orientation","unknown","volume_shortcut","lost","True","True","False","True","False"
"need communication support now","text","False","create_help_request","none","none","none","none","none","communication","hearing","text","cannot_reach","False","True","False","True","False"
"medical urgent companion collapsed","caregiver","True","create_help_request","none","none","none","none","none","medical","caregiver","caregiver","medical_urgent","False","False","True","True","True"
"escort for another person svp","caregiver","True","create_help_request","none","none","none","none","none","escort","caregiver","caregiver","escort","True","False","True","True","True"
"unsafe acces fi parking basement","haptic","False","create_help_request","none","none","none","none","none","unsafe_access","unknown","haptic","blocked","False","True","False","True","False"
"signalement quick: rampe bloquee encore","keyboard","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"help mobility now fi rue","text","False","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","False","False","True","True","False"
"orientation urgent i am loost","voice","False","create_help_request","none","none","none","none","none","orientation","unknown","voice","lost","True","True","False","True","False"
"communication aid for deaf bro","tap","False","create_help_request","none","none","none","none","none","communication","hearing","tap","cannot_reach","False","True","False","True","False"
"medical urgent pour another person","caregiver","True","create_help_request","none","none","none","none","none","medical","caregiver","caregiver","medical_urgent","False","False","True","True","True"
"obstacle trottoir casse ya pierres","keyboard","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"pas de rampe fi entree mosque","voice","False","create_post","signalement","motor","voice","precise","medium","none","none","none","none","False","False","True","False","False"
"escalier sans main courante danger","headEyes","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","False","False","False","False"
"mriguel escaliers mouilles attention","vibration","False","create_post","alerte","all","vibration","precise","critical","none","none","none","none","False","False","False","False","False"
"sans rampe impossible monter avec fauteuil","deafBlind","False","create_post","signalement","motor","deafBlind","approximate","medium","none","none","none","none","False","False","True","True","False"
"entree commerce seuil trop haut","caregiver","False","create_post","signalement","motor","caregiver","precise","medium","none","none","none","none","False","False","True","False","False"
"porte automatique pane reste fermee","text","False","create_post","signalement","all","keyboard","precise","medium","none","none","none","none","False","False","False","False","False"
"acces difficile trottoir etroit","tap","False","create_post","signalement","motor","voice","approximate","low","none","none","none","none","False","False","True","False","False"
"info ascenseur PMR ok ce matin","haptic","False","create_post","information","all","headEyes","approximate","none","none","none","none","none","False","False","False","True","False"
"conseil pour traverser avec canne blanche","volume_shortcut","False","create_post","conseil","visual","vibration","none","low","none","none","none","none","False","True","False","False","False"
"temoignage personnel accueil tres correct","keyboard","False","create_post","temoignage","all","deafBlind","none","none","none","none","none","none","False","False","False","False","False"
"alerte nid poule devant ecole","voice","False","create_post","alerte","all","caregiver","precise","critical","none","none","none","none","False","False","False","False","False"
"je veux publier photo du passage bloque","headEyes","False","create_post","signalement","all","keyboard","precise","medium","none","none","none","none","False","False","False","True","False"
"jve poster une photo rampe cassee","vibration","False","create_post","signalement","motor","voice","precise","medium","none","none","none","none","False","False","True","False","False"
"je veux signaler un obstacle ya barriere","deafBlind","False","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","False","False","True","False","False"
"publication pour mon ami en fauteuil info acces","caregiver","False","create_post","information","motor","vibration","approximate","none","none","none","none","none","False","False","True","False","False"
"publier pour une autre personne besoin info guichet","text","True","create_post","information","caregiver","deafBlind","approximate","none","none","none","none","none","False","False","False","True","True"
"bklé trottoir ya travaux","tap","False","create_post","signalement","motor","caregiver","approximate","medium","none","none","none","none","False","False","True","False","False"
"jarrive pas monter marche trottoir","haptic","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","False","False"
"pas acces ascenseur en panne","volume_shortcut","False","create_post","signalement","motor","voice","approximate","medium","none","none","none","none","False","False","True","False","False"
"ya escalier raide sans balustrade","keyboard","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","False","False","True","False"
"obstacle chantier barriere mal placee","voice","False","create_post","signalement","all","vibration","precise","medium","none","none","none","none","False","False","False","False","False"
"info parking handicape plein alternative","headEyes","False","create_post","information","motor","deafBlind","approximate","none","none","none","none","none","False","False","True","False","False"
"conseil demander aide aux agents en gare","vibration","False","create_post","conseil","cognitive","caregiver","none","low","none","none","none","none","False","False","False","True","False"
"temoignage douche adaptee hotel nickel","deafBlind","False","create_post","temoignage","motor","keyboard","none","none","none","none","none","none","False","False","True","True","False"
"alerte fuite eau glissante devant banque","caregiver","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","False","False","False","False"
"signalement feu tricolore rapide pour pietons","text","False","create_post","signalement","visual","headEyes","precise","medium","none","none","none","none","True","True","False","False","False"
"information toilettes accessibles ouvertes tard","tap","False","create_post","information","all","vibration","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil utiliser application pour itineraire accessible","haptic","False","create_post","conseil","all","deafBlind","none","low","none","none","none","none","False","False","False","True","False"
"temoignage restaurant table basse ok","volume_shortcut","False","create_post","temoignage","motor","caregiver","none","none","none","none","none","none","False","False","True","False","False"
"alerte cable au sol zone chantier","keyboard","False","create_post","alerte","all","keyboard","precise","critical","none","none","none","none","False","False","False","False","False"
"rampe trop raide pour manuel wheelchair","voice","False","create_post","signalement","motor","voice","precise","medium","none","none","none","none","False","False","True","False","False"
"entree principale avec marche unique","headEyes","False","create_post","signalement","motor","headEyes","precise","low","none","none","none","none","False","False","True","True","False"
"affiche braille absent guichet","vibration","False","create_post","signalement","visual","vibration","precise","low","none","none","none","none","True","True","False","False","False"
"info ligne bus sur leve inclinaison ok","deafBlind","False","create_post","information","motor","deafBlind","approximate","none","none","none","none","none","False","False","True","False","False"
"conseil anticiper les heures de pointe","caregiver","False","create_post","conseil","cognitive","caregiver","none","low","none","none","none","none","False","False","False","True","False"
"temoignage personnel aimable traduction LSF","text","False","create_post","temoignage","hearing","keyboard","none","none","none","none","none","none","False","False","False","True","False"
"alerte chute branchage arbre sur trottoir","tap","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","False","False","False","False"
"passage etroit deux fauteuils impossible","haptic","False","create_post","signalement","motor","headEyes","approximate","medium","none","none","none","none","False","False","True","False","False"
"ascenseur trop petit pour fauteuil electrique","volume_shortcut","False","create_post","signalement","motor","vibration","precise","medium","none","none","none","none","False","False","True","False","False"
"bouton appel ascenseur trop haut","keyboard","False","create_post","signalement","motor","deafBlind","precise","medium","none","none","none","none","False","False","True","True","False"
"info carte tactile disponible a laccueil","voice","False","create_post","information","visual","caregiver","approximate","none","none","none","none","none","False","True","False","False","False"
"conseil garder lampe frontale la nuit","headEyes","False","create_post","conseil","visual","keyboard","none","low","none","none","none","none","False","True","False","False","False"
"temoignage horaires respectes rdv medical","vibration","False","create_post","temoignage","all","voice","none","none","none","none","none","none","False","False","False","False","False"
"alerte circulation sens unique dangereux","deafBlind","False","create_post","alerte","all","headEyes","precise","medium","none","none","none","none","False","False","False","True","False"
"je veux publier alerte trottoir detruit","caregiver","False","create_post","alerte","all","vibration","precise","critical","none","none","none","none","False","False","False","False","False"
"photo du passage etroit entre deux murs","text","False","create_post","signalement","motor","deafBlind","precise","medium","none","none","none","none","False","False","True","False","False"
"svp publier info utile pour handicapes moteur","tap","False","create_post","information","motor","caregiver","approximate","none","none","none","none","none","False","False","True","False","False"
"urgent info fermeture rampe provisoire","haptic","False","create_post","information","motor","keyboard","approximate","none","none","none","none","none","False","False","True","True","False"
"svp poliment signaler obstacle temporaire","volume_shortcut","False","create_post","signalement","all","voice","approximate","low","none","none","none","none","False","False","False","False","False"
"mes respects je signale nid poule profond","keyboard","False","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","False","False","True","False","False"
"ya pas acces ya seulement des marches","voice","False","create_post","signalement","motor","vibration","precise","medium","none","none","none","none","False","False","True","False","False"
"trottoir impraticable personne age assistante","headEyes","False","create_post","signalement","motor","deafBlind","approximate","medium","none","none","none","none","False","False","True","True","False"
"info utile pour tous les usagers PMR","vibration","False","create_post","information","all","caregiver","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil prudence pluie surface glissante","deafBlind","False","create_post","conseil","all","keyboard","none","low","none","none","none","none","False","False","False","False","False"
"temoignage personnel tres satisfait equipe","caregiver","False","create_post","temoignage","all","voice","none","none","none","none","none","none","False","False","False","False","False"
"alerte danger immediat fil electrique au sol","text","False","create_post","alerte","all","headEyes","precise","critical","none","none","none","none","False","False","False","True","False"
"signalement long detaille sur trace sans guidage","tap","False","create_post","signalement","visual","vibration","precise","medium","none","none","none","none","True","True","False","False","False"
"information detaillee horaires et acces PMR semaine prochaine","haptic","False","create_post","information","motor","deafBlind","approximate","none","none","none","none","none","False","False","True","False","False"
"obstacle metalique depasse ya risque blessure","volume_shortcut","False","create_post","signalement","all","caregiver","precise","medium","none","none","none","none","False","False","False","False","False"
"escalier mecanique arrete mi parcours","keyboard","False","create_post","signalement","motor","keyboard","precise","medium","none","none","none","none","False","False","True","True","False"
"pas de bande podotactile au carrefour","voice","False","create_post","signalement","visual","voice","precise","medium","none","none","none","none","True","True","False","False","False"
"entree laterale fermee cle manque","headEyes","False","create_post","signalement","all","headEyes","precise","medium","none","none","none","none","False","False","False","False","False"
"acces pente trop forte pour accompagnateur","vibration","False","create_post","signalement","motor","vibration","approximate","medium","none","none","none","none","False","False","True","False","False"
"info balisage sonore operationnel","deafBlind","False","create_post","information","visual","deafBlind","approximate","none","none","none","none","none","False","True","False","True","False"
"conseil arrivez tot pour eviter cohue","caregiver","False","create_post","conseil","cognitive","caregiver","none","low","none","none","none","none","False","False","False","True","False"
"temoignage experience mitigee personnel peu forme","text","False","create_post","temoignage","all","keyboard","none","none","none","none","none","none","False","False","False","False","False"
"alerte verglas matinal trottoir hopital","tap","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","False","False","False","False"
"signalement quai train ecart trop large","haptic","False","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","False","False","True","True","False"
"je veux poster une photo de la barriere","volume_shortcut","False","create_post","signalement","motor","vibration","precise","medium","none","none","none","none","False","False","True","False","False"
"je veux publier pour informer les usagers","keyboard","False","create_post","information","all","deafBlind","approximate","none","none","none","none","none","False","False","False","False","False"
"publier photo souci signalisation","voice","False","create_post","signalement","visual","caregiver","precise","medium","none","none","none","none","True","True","False","False","False"
"obstacle temporaire cone renverse","headEyes","False","create_post","signalement","all","keyboard","approximate","medium","none","none","none","none","False","False","False","True","False"
"marches sans contraste visuel","vibration","False","create_post","signalement","visual","voice","precise","medium","none","none","none","none","True","True","False","False","False"
"largeur porte insuffisante fauteuil","deafBlind","False","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","False","False","True","False","False"
"wc adapte mais poignee cassee","caregiver","False","create_post","signalement","motor","vibration","precise","medium","none","none","none","none","False","False","True","False","False"
"info navette gratuite pour PMR weekend","text","False","create_post","information","motor","deafBlind","approximate","none","none","none","none","none","False","False","True","True","False"
"conseil telephoner avant pour reserver place","tap","False","create_post","conseil","motor","caregiver","none","low","none","none","none","none","False","False","True","False","False"
"temoignage bruit excessif sal dattente","haptic","False","create_post","temoignage","hearing","keyboard","none","none","none","none","none","none","False","False","False","False","False"
"alerte eclairage public eteint ruelle","volume_shortcut","False","create_post","alerte","all","voice","precise","critical","none","none","none","none","False","False","False","False","False"
"signalement vitre sale difficile visibilite","keyboard","False","create_post","signalement","visual","headEyes","precise","low","none","none","none","none","True","True","False","True","False"
"information sens unique pieton modifie","voice","False","create_post","information","all","vibration","approximate","none","none","none","none","none","False","False","False","False","False"
"conseil preferer entree nord moins de marches","headEyes","False","create_post","conseil","motor","deafBlind","none","low","none","none","none","none","False","False","True","False","False"
"temoignage accompagnement benevole super","vibration","False","create_post","temoignage","all","caregiver","none","none","none","none","none","none","False","False","False","False","False"
"alerte flaque huile zone parking","deafBlind","False","create_post","alerte","all","keyboard","precise","critical","none","none","none","none","False","False","False","True","False"
"obstacle volontaire barriere chantier","caregiver","False","create_post","signalement","all","voice","precise","medium","none","none","none","none","False","False","False","False","False"
"escalier interieur sans ascenseur alternatif","text","False","create_post","signalement","motor","headEyes","precise","medium","none","none","none","none","False","False","True","False","False"
"jarrive pas comprendre ou est lentree PMR","tap","False","create_post","information","motor","vibration","approximate","none","none","none","none","none","False","False","True","False","False"
"bkle je reste coince devant barriere","haptic","False","create_post","signalement","motor","deafBlind","precise","medium","none","none","none","none","False","False","True","True","False"
"je sui perdu dans couloir hopital signalement access","volume_shortcut","False","create_post","information","all","caregiver","approximate","none","none","none","none","none","False","False","False","False","False"
"je suis perdu pres la porte sud","keyboard","False","create_help_request","none","none","none","none","none","orientation","visual","voice","lost","True","True","False","True","False"
"je sui perdu ya pas de panneau","voice","False","create_help_request","none","none","none","none","none","orientation","unknown","text","lost","False","False","False","False","False"
"jarrive pas trouver la sortie PMR","headEyes","False","create_help_request","none","none","none","none","none","orientation","motor","voice","lost","False","False","True","False","False"
"perdu dans parking niveau moins un","vibration","False","create_help_request","none","none","none","none","none","orientation","unknown","tap","lost","False","False","False","True","False"
"bkle devant grille je peux pas passer","deafBlind","False","create_help_request","none","none","none","none","none","mobility","motor","text","blocked","False","False","True","False","False"
"mobilite bloquee ya trop de marches","caregiver","False","create_help_request","none","none","none","none","none","mobility","motor","haptic","blocked","False","False","True","False","False"
"pas acces ya barriere electrique","text","False","create_help_request","none","none","none","none","none","unsafe_access","motor","voice","blocked","False","False","True","True","False"
"acces dangereux trottoir effondre","tap","False","create_help_request","none","none","none","none","none","unsafe_access","unknown","text","blocked","False","False","False","False","False"
"communication urgent besoin interprete","haptic","False","create_help_request","none","none","none","none","none","communication","hearing","caregiver","cannot_reach","False","False","False","False","False"
"jarrive pas expliquer douleur au guichet","volume_shortcut","False","create_help_request","none","none","none","none","none","communication","cognitive","text","cannot_reach","False","False","False","True","False"
"urgence medicale essoufflement fort","keyboard","False","create_help_request","none","none","none","none","none","medical","unknown","voice","medical_urgent","False","False","False","False","False"
"urgent svp malaise vertige","voice","False","create_help_request","none","none","none","none","none","medical","unknown","volume_shortcut","medical_urgent","False","False","False","False","False"
